a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-2
acl 2.2.53-3
adapta-gtk-theme 3.95.0.11-1
adapta-kde 20180828-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-han-sans-cn-fonts 2.001-1
adobe-source-han-sans-jp-fonts 2.001-1
adobe-source-han-sans-kr-fonts 2.001-1
adobe-source-sans-pro-fonts 3.006-1
adwaita-icon-theme 3.36.1-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
alsi 0.4.8-1
aom 1.0.0.errata1+avif-1
appstream-glib 0.7.17-1
arandr 0.1.10-4
arc-gtk-theme 20190917-1
arc-icon-theme 20161122-2
arch-install-scripts 23-1
archiso 43-1
archlinux-appstream-data 20200415-1
archlinux-keyring 20200422-1
arcolinux-arc-kde 20180614-4
arcolinux-arc-themes-nico-git 20.4-1
arcolinux-betterlockscreen-git 20.5-9
arcolinux-bin-git 20.5-2
arcolinux-config-i3wm-git 20.4-1
arcolinux-conky-collection-git 20.1-2
arcolinux-cron-git 19.12-5
arcolinux-fonts-git 19.7-3
arcolinux-grub-theme-vimix-git 20200209-2
arcolinux-hblock-git 2.1.6-1
arcolinux-i3wm-dconf-git 19.12-7
arcolinux-i3wm-git 20.5-8
arcolinux-keyring 20230105-1
arcolinux-kvantum-git 20.5-1
arcolinux-lightdm-gtk-greeter 1:2.0.6-1
arcolinux-lightdm-gtk-greeter-settings 1.2.2-4
arcolinux-local-applications-git 20.4-1
arcolinux-local-xfce4-git 19.11-4
arcolinux-logout-git 20.5-17
arcolinux-meta-steam 1.1.1-3
arcolinux-mirrorlist-git 20.3-1
arcolinux-mirrorlist-spinoff-git 20.3-2
arcolinux-neofetch-git 20.4-3
arcolinux-nitrogen-git 20.2-2
arcolinux-pipemenus-git 19.12-3
arcolinux-polybar-git 20.4-2
arcolinux-qt5-git 19.3-4
arcolinux-rofi-git 19.3-1
arcolinux-rofi-themes-git 19.3-1
arcolinux-root-git 20.4-1
arcolinux-slim 1.3.6-8
arcolinux-slimlock-themes-git 19.3-1
arcolinux-system-config-git 20.5-1
arcolinux-teamviewer 15.3.2682-6
arcolinux-termite-themes-git 20.4-1
arcolinux-tweak-tool-git 20.5-38
arcolinux-variety-git 20.1-6
arcolinux-wallpapers-git 20.4-1
arcolinux-welcome-app-git 20.5-9
arcolinux-xfce-git 20.5-8
arcolinux-zsh-git 20.2-9
argon2 20190702-3
aribb24 1.0.3-2
asciinema 2.0.2-3
asciiquarium 1.1-5
aspell 0.60.8-1
at 3.2.1-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-1
attica 5.69.0-1
attr 2.4.48-3
audacious 4.0.3-1
audacious-plugins 4.0.3-1
audiofile 0.3.6-5
